Company,Position,Skill,Location
유디아이디(UDID),전자결제서비스 PHP 개발자,"['MongoDB', 'MySQL', 'Java', 'JavaScript', 'TypeScript', 'JPA', 'Spring Boot', 'Angular']",서울.한국
아템드메라키,정량적 연구자/모델러,null,서울.한국
프리딕션,Frontend Engineer - SaaS,"['Github', 'React', 'JavaScript', 'TypeScript', 'AWS', 'Next.js']",서울.한국
포스타입,[100억↑투자] 백엔드 엔지니어,null,서울.한국
넛지헬스케어(캐시워크),[병역특례_현역/보충역] Flutter 개발자,null,서울.한국
넛지헬스케어(캐시워크),[병역특례_현역/보충역] 프론트엔드 개발자,null,서울.한국
넛지헬스케어(캐시워크),[병역특례_현역/보충역] 풀스택 개발자,null,서울.한국
넛지헬스케어(캐시워크),[병역특례_현역/보충역] 백엔드 개발자(Node.js),null,서울.한국
레디코리아,전자무역 솔루션 개발자 (Software Engineer),null,서울.한국
컨트롤에프,웹 개발,"['Linux', 'MySQL', 'Pytorch', 'Tensorflow', 'HTML', 'Python', 'Docker', 'Spring Framework']",대전.한국
지냅스,[연구소/IVI] 안드로이드 개발자 (Android Developer),"['Git', 'Android', 'Linux', 'C / C++', 'Java', 'Kotlin', 'Jenkins', 'Android Studio']",경기.한국
온엣,웹 백엔드 개발자,"['Linux', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS']",서울.한국
자이언트스텝,AI 연구원,"['DirectX', 'OpenGL', 'Unreal Engine', 'C++', 'Unity3D']",서울.한국
오브라운,웹 서비스 개발자,"['MySQL', 'CSS', 'HTML', 'JavaScript', '웹 개발', 'Apache']",서울.한국
에너자이(ENERZAi),AI R&D 연구원,"['Git', 'Github', 'Pytorch', 'Tensorflow', 'Python', '개발', 'C++', '최적화', 'Docker', '카메라', '컴파일러', 'CUDA', 'OpenCL', 'OpenMP', '라이브러리 관리']",서울.한국
아이시냅스,신호처리/알고리즘 PART,null,서울.한국
코멘토,백엔드 개발자 (PHP),null,서울.한국
코드잇(codeit),[100억↑투자] 커리큘럼 매니저 [백엔드 교육],null,서울.한국
코드잇(codeit),[100억↑투자] 커리큘럼 매니저 [프론트엔드 교육],null,서울.한국
코드잇(codeit),[100억↑투자] 테크 콘텐츠 에디터,null,서울.한국
코드잇(codeit),[100억↑투자] 프로그래밍 콘텐츠 프로듀서,null,서울.한국
바비디 코리아,"Software Engineer, Backend","['Github', 'Android', 'iOS', 'Linux', 'Pytorch', 'React', 'Tensorflow', 'JavaScript', 'Kotlin', 'Python', 'Swift', 'AWS', 'Docker', 'PostgreSQL']",서울.한국
피플앤드테크놀러지,AI 제품 개발자,null,서울.한국
굿라이프랩,풀스택 개발자(신입 가능),"['Git', 'MySQL', 'HTML', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'Docker', 'React.js', 'Next.js']",서울.한국
라이트비전,AI 연구개발자 전문연구요원(병역특례),null,서울.한국
지엠디소프트(GMDSOFT),포렌식 아티팩트 분석가 / 분석 모듈 개발자,null,경기.한국
레몬클라우드,"Serverless 기반 백엔드 개발자 (DevOps, node.js)","['Git', 'Github', 'AngularJS', 'React', 'Tensorflow', 'Python', 'TypeScript', 'AWS', 'Docker', 'ElasticSearch', 'NodeJS', 'React Native']",서울.한국
빌드블록,[100억↑투자] 웹 백엔드 개발자 (Backend Engineer) (신입가능),"['React', 'JavaScript', 'TypeScript', 'Next.js']",서울.한국
넥슨코리아(NEXON),[인텔리전스랩스] 탐지응용팀 풀스택 개발자 (Vue/Go),null,경기.한국
티에스엔랩,DevOps/Python 개발자 (재택근무),null,경기.한국
티에스엔랩,네트워크 프로토콜 개발자 (재택근무),null,경기.한국
이노팸,AI researcher,['Github'],서울.한국
스카이링크,프론트엔드 개발자,"['Git', 'VueJS', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'React.js']",서울.한국
스카이링크,백엔드 개발자,"['Git', 'VueJS', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'React.js']",서울.한국
에스오에스랩(SOS LAB),[100억↑투자] LiDAR Perception Software Developer,"['Linux', 'Python', 'C++', 'ROS']",경기.한국
오케스트로,Full Stack Developer (Cloud Project),['Python'],서울.한국
디오비스튜디오,프론트엔드 개발,"['Pytorch', 'Tensorflow', 'Python', 'Docker']",서울.한국
이스트게임즈,게임 서버 개발자,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",서울.한국
이스트게임즈,웹 개발자,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",서울.한국
어크로스비,서비스 개발(전문연구요원),"['Git', 'AWS']",서울.한국
