Company,Position,Skill,Location
크레이브몹,서버/백엔드 모바일 게임 게임 서버 외 6개,"['Django', 'Python', 'DRF(Django REST framework)', 'Docker']",경력 무관 서울 성동구
슈프리마,서버/백엔드 웹 풀스택 Node.js 외 2개,"['Redis', 'MongoDB', 'JavaScript', 'Node.js', 'AWS EC2', 'ReactJS']",경력 무관 경기도 성남시
엔에이치엔크로센트,웹 풀스택 DBA 개발PM 외 3개,"['Node.js', 'JavaScript', 'ReactJS']",경력 무관 서울시 서초구
엔에이치엔크로센트,웹 풀스택 시스템 소프트웨어 QA,"['DBA(Database administration)', 'OpenStack', 'Azure']",경력 무관 서울시 서초구
엔에이치엔크로센트,웹 풀스택 시스템 소프트웨어 QA 외 3개,null,경력 무관 서울시 서초구
엔에이치엔크로센트,웹 풀스택 시스템 소프트웨어 임베디드 소프트웨어 외 3개,"['OpenStack', 'Linux', 'Python']",경력 무관 서울시 서초구
엔에이치엔크로센트,웹 풀스택 데이터 엔지니어링 임베디드 소프트웨어 외 3개,"['ReactJS', 'Angular', 'Spring Boot']",경력 무관 서울시 서초구
엔에이치엔크로센트,웹 풀스택 데이터 엔지니어링 시스템 소프트웨어 외 3개,"['OpenStack', 'Spring Boot', 'Python']",경력 무관 서울시 서초구
피유엠피,프론트엔드,"['C++', 'Python', 'Linux']",경력 무관 서울 강남구
피유엠피,프론트엔드 JavaScript ReactJS,null,경력 무관 서울 강남구
스매치코퍼레이션,서버/백엔드 프론트엔드 웹 풀스택 외 11개,"['JavaScript', 'ReactJS']",경력 무관 서울 서초구
랑데뷰,서버/백엔드 프론트엔드 웹 풀스택 외 13개,"['TypeScript', 'NestJS', 'Python', 'FastAPI', 'ReactJS', 'Next.js', 'Redux.js', 'Tailwind CSS', 'TypeORM', 'Prisma', 'PostgreSQL']",경력 무관 서울 서초구
에임,서버/백엔드 프론트엔드 데브옵스,"['jQuery', 'JavaScript', 'Ajax', 'WebGL', 'PHP', 'HTML', 'MySQL', 'Node.js', 'Git', 'Docker', 'CSS', 'ReactJS', 'Spring']",경력 무관 서울 서초구
인포보스,서버/백엔드 프론트엔드 응용 프로그램 외 8개,null,경력 무관 서울시 강남구
인텔리즈,서버/백엔드 프론트엔드 머신러닝 외 8개,"['Python', 'MySQL', 'PHP', 'HTML', 'CSS', 'JavaScript', 'C', 'Java']",경력 무관 서울 성동구
루미르,서버/백엔드 시스템 소프트웨어 응용 프로그램 외 3개,"['C++', 'Python', 'Java', 'C#', 'Node.js', 'dlib', 'PyTorch', 'Deep Learning']",경력 무관 경기 용인시
스마트캐스트,프론트엔드 시스템 소프트웨어 임베디드 소프트웨어 외 8개,"['C', 'C++', 'C#']",경력 무관 경기 고양시
퍼즐벤처스,서버/백엔드 Node.js MySQL 외 4개,"['Qt', 'C', 'Git', 'MySQL', 'C++', 'OpenGL', 'SQLite', 'Embedded System']",경력 무관 서울 송파구
가인지캠퍼스,서버/백엔드 TypeScript GraphQL 외 4개,"['Node.js', 'MySQL', 'Git', 'AWS RDS', 'AWS EC2', 'JavaScript']",경력 무관 서울 마포구
가인지캠퍼스,프론트엔드 TypeScript GraphQL 외 4개,"['TypeScript', 'GraphQL', 'NestJS', 'MySQL', 'TypeORM', 'React Native']",경력 무관 서울 마포구
누아,서버/백엔드,"['TypeScript', 'GraphQL', 'React Native', 'Next.js', 'MySQL', 'TypeORM']",경력 무관 서울 종로구
아이비베리,서버/백엔드 웹 풀스택 Python 외 2개,null,경력 무관 서울 구로구
프래프,프론트엔드 웹 풀스택 안드로이드 외 3개,"['Python', 'Amazon Web Services(AWS)', 'Git']",경력 무관 서울 강남구
프래프,프론트엔드 웹 풀스택 안드로이드 외 3개,"['React Native', 'ReactJS', 'JavaScript']",경력 무관 서울 강남구
씨디에프브로스,서버/백엔드 TypeScript Node.js 외 3개,"['JavaScript', 'ReactJS', 'React Native']",경력 무관 서울시 강남구
트릿지,서버/백엔드 웹 풀스택 데이터 엔지니어링 외 5개,"['TypeScript', 'Node.js', 'NestJS', 'TypeORM', 'MySQL']",경력 무관 서울특별시 서초구
아비커스,서버/백엔드 머신러닝 시스템/네트워크 외 4개,"['MySQL', 'Node.js', 'Docker', 'Django', 'Python']",경력 무관 서울 강남구
아비커스,서버/백엔드 웹 풀스택 안드로이드,"['OpenCV', 'C++', 'Machine Vision', 'Tensorflow']",경력 무관 서울 강남구
멕헬스케어,서버/백엔드 시스템/네트워크 크로스 플랫폼 외 3개,null,경력 무관 서울 마포구
인젠트,프론트엔드 QA 응용 프로그램 외 3개,"['MySQL', 'PHP', 'Python']",경력 무관 서울 영등포구
해긴,서버/백엔드 프론트엔드 웹 풀스택 외 5개,"['Java', 'SQL', 'Linux']",경력 무관 서울 구로구
알티베이스,서버/백엔드 시스템/네트워크 시스템 소프트웨어 외 3개,"['MySQL', 'Redis', 'Vue.js', 'C#', '.NET']",경력 무관 서울 구로구
비바리퍼블리카(토스),서버/백엔드 시스템 소프트웨어 Apache Kafka 외 23개,"['C', 'C#', 'Java']",경력 무관 서울특별시 강남구
비바리퍼블리카(토스),서버/백엔드 시스템 소프트웨어 Apache Kafka 외 23개,"['Apache Kafka', 'Jenkins', 'Spinnaker', 'Docker', 'Git', 'Consul', 'Nginx', 'HAProxy', 'Kubernetes', 'Apache ZooKeeper', 'Memcached', 'Redis', 'Apache Hadoop', 'MongoDB', 'MySQL', 'Hibernate', 'JPA(Java Persistent API)', 'Spring Cloud', 'Spring Boot', 'Spring', 'Netty', 'Gradle', 'Java', 'Kotlin']",경력 무관 서울특별시 강남구
비바리퍼블리카(토스),서버/백엔드 시스템 소프트웨어 Kotlin 외 23개,"['Apache Kafka', 'Jenkins', 'Spinnaker', 'Docker', 'Git', 'Consul', 'Nginx', 'HAProxy', 'Kubernetes', 'Apache ZooKeeper', 'Memcached', 'Redis', 'Apache Hadoop', 'MongoDB', 'MySQL', 'Hibernate', 'JPA(Java Persistent API)', 'Spring Cloud', 'Spring Boot', 'Spring', 'Netty', 'Gradle', 'Java', 'Kotlin']",경력 무관 서울특별시 강남구
아이에이치큐,프론트엔드 React Admin React Native,"['Kotlin', 'Java', 'Gradle', 'Netty', 'Spring', 'Spring Boot', 'Spring Cloud', 'JPA(Java Persistent API)', 'Hibernate', 'MySQL', 'MongoDB', 'Apache Hadoop', 'Redis', 'Memcached', 'Apache ZooKeeper', 'Kubernetes', 'HAProxy', 'Nginx', 'Consul', 'Git', 'Docker', 'Spinnaker', 'Jenkins', 'Apache Kafka']",경력 무관 서울특별시 강서구
아이에이치큐,프론트엔드 React Native,"['React Admin', 'React Native']",경력 무관 서울특별시 강서구
알에스인터렉티브,서버/백엔드 프론트엔드 안드로이드 외 4개,['React Native'],경력 무관 서울 마포구
나인하이어,프론트엔드 ReactJS Redux-Saga 외 3개,"['React Native', 'ReactJS', 'Android', 'JavaScript']",경력 무관 부산 해운대구
쿤텍,서버/백엔드 웹 풀스택 데이터 엔지니어링 외 8개,"['ReactJS', 'Redux-Saga', 'TypeScript', 'HTML', 'CSS']",경력 무관 경기도 성남시
휴라,프론트엔드 C# WPF 외 3개,"['Python', 'R', 'Java', 'AWS S3', 'Azure', 'GCP(Google Cloud Platform)', 'AWS EKS', 'Kubernetes']",경력 무관 대전 유성구
